household_id,cluster_id,stratum_code,interviewer_id,interview_date,interview_duration_min,result_of_visit,eligible_children_9_59_months,wealth_quintile,settlement_type,stage2_households_listed,stage2_households_selected
H00946,C048,ST02,I12,2026-05-18,20,Completed,2.0,4.0,Rural,229,20
H01767,C089,ST03,I17,2026-05-25,19,Completed,2.0,3.0,Urban,146,20
H00178,C009,ST01,I09,2026-05-12,19,Completed,1.0,1.0,Rural,126,20
H00384,C020,ST01,I02,2026-05-14,23,Completed,1.0,1.0,Urban,138,20
H00828,C042,ST02,I06,2026-05-17,14,No eligible respondent after 3 visits,,,Rural,123,20
H01625,C082,ST03,I10,2026-05-24,19,Completed,3.0,5.0,Urban,111,20
H01098,C055,ST02,I01,2026-05-20,29,Completed,2.0,1.0,Rural,262,20
H01140,C057,ST02,I03,2026-05-20,25,Completed,2.0,3.0,Rural,96,20
H01550,C078,ST03,I06,2026-05-23,18,Completed,2.0,4.0,Urban,151,20
H00153,C008,ST01,I08,2026-05-12,35,Completed,2.0,3.0,Rural,242,20
H00569,C029,ST01,I11,2026-05-15,24,No eligible respondent after 3 visits,,,Rural,130,20
H01142,C058,ST02,I04,2026-05-20,16,Completed,2.0,5.0,Rural,380,20
H01751,C088,ST03,I16,2026-05-25,18,Completed,4.0,1.0,Rural,55,20
H00881,C045,ST02,I09,2026-05-18,31,Completed,1.0,2.0,Rural,336,20
H00992,C050,ST02,I14,2026-05-19,10,Completed,2.0,2.0,Rural,135,20
H01023,C052,ST02,I16,2026-05-19,25,Completed,3.0,5.0,Urban,623,20
H00933,C047,ST02,I11,2026-05-18,22,No eligible respondent after 3 visits,,,Urban,230,20
H00211,C011,ST01,I11,2026-05-12,18,Completed,1.0,3.0,Urban,127,20
H00521,C027,ST01,I09,2026-05-15,11,Completed,1.0,4.0,Urban,262,20
H01091,C055,ST02,I01,2026-05-20,20,Completed,2.0,1.0,Rural,262,20
H01575,C079,ST03,I07,2026-05-24,2,Completed,1.0,4.0,Rural,161,20
H00654,C033,ST02,I15,2026-05-16,26,Completed,0.0,2.0,Rural,81,20
H00394,C020,ST01,I02,2026-05-14,25,No eligible respondent after 3 visits,,,Urban,138,20
H00834,C042,ST02,I06,2026-05-17,13,Completed,1.0,5.0,Rural,123,20
H00159,C008,ST01,I08,2026-05-12,27,Completed,1.0,4.0,Rural,242,20
H00371,C019,ST01,I07,2026-05-14,2,Completed,1.0,2.0,Rural,78,20
H00953,C048,ST02,I12,2026-05-18,23,Completed,1.0,5.0,Rural,229,20
H01187,C060,ST02,I06,2026-05-20,5,Completed,1.0,1.0,Urban,183,20
H01135,C057,ST02,I03,2026-05-20,12,Completed,2.0,1.0,Rural,96,20
H01614,C081,ST03,I09,2026-05-24,18,Completed,3.0,5.0,Urban,260,20
H00335,C017,ST01,I17,2026-05-13,26,Completed,1.0,1.0,Rural,90,20
H01797,C090,ST03,I07,2026-05-25,3,Completed,0.0,5.0,Urban,220,20
H01073,C054,ST02,I18,2026-05-19,23,Completed,0.0,1.0,Rural,88,20
H01440,C072,ST03,I18,2026-05-22,21,Completed,3.0,1.0,Rural,98,20
H00446,C023,ST01,I05,2026-05-14,29,No eligible respondent after 3 visits,,,Rural,151,20
H00282,C015,ST01,I15,2026-05-13,25,No eligible respondent after 3 visits,,,Rural,168,20
H01300,C065,ST03,I11,2026-05-21,20,No eligible respondent after 3 visits,,,Urban,521,20
H00663,C034,ST02,I16,2026-05-16,25,No eligible respondent after 3 visits,,,Rural,79,20
H00186,C010,ST01,I10,2026-05-12,24,Completed,1.0,4.0,Rural,441,20
H01101,C056,ST02,I02,2026-05-20,21,Completed,2.0,5.0,Urban,46,20
H00716,C036,ST02,I18,2026-05-16,22,Refused,,,Urban,262,20
H00817,C041,ST02,I05,2026-05-17,23,No eligible respondent after 3 visits,,,Rural,292,20
H00332,C017,ST01,I17,2026-05-13,21,Completed,2.0,4.0,Rural,90,20
H01515,C076,ST03,I04,2026-05-23,20,Refused,,,Urban,168,20
H01212,C061,ST03,I07,2026-05-21,4,Completed,2.0,4.0,Urban,432,20
H01409,C071,ST03,I17,2026-05-22,13,Completed,1.0,4.0,Rural,239,20
H00896,C045,ST02,I09,2026-05-18,30,Completed,1.0,5.0,Rural,336,20
H01063,C054,ST02,I18,2026-05-19,10,Completed,1.0,5.0,Rural,88,20
H00694,C035,ST02,I17,2026-05-16,24,Completed,0.0,1.0,Urban,80,20
H00645,C033,ST02,I15,2026-05-16,23,Completed,0.0,1.0,Rural,81,20
H00970,C049,ST02,I13,2026-05-19,28,Completed,3.0,1.0,Urban,615,20
H00396,C020,ST01,I02,2026-05-14,18,Completed,1.0,1.0,Urban,138,20
H00047,C003,ST01,I03,2026-05-11,6,Completed,1.0,1.0,Urban,226,20
H01387,C070,ST03,I16,2026-05-22,17,Completed,1.0,2.0,Urban,133,20
H00140,C007,ST01,I07,2026-05-12,4,Completed,2.0,5.0,Rural,152,20
H00197,C010,ST01,I10,2026-05-12,15,Completed,3.0,1.0,Rural,441,20
H00861,C044,ST02,I08,2026-05-18,6,Completed,1.0,2.0,Urban,131,20
H00145,C008,ST01,I08,2026-05-12,20,Completed,2.0,1.0,Rural,242,20
H01578,C079,ST03,I07,2026-05-24,5,Completed,0.0,3.0,Rural,161,20
H01294,C065,ST03,I11,2026-05-21,22,Completed,2.0,5.0,Urban,521,20
H00246,C013,ST01,I13,2026-05-13,23,Completed,2.0,4.0,Urban,196,20
H01130,C057,ST02,I03,2026-05-20,21,Refused,,,Rural,96,20
H01151,C058,ST02,I04,2026-05-20,5,Completed,0.0,3.0,Rural,380,20
H00275,C014,ST01,I07,2026-05-13,3,Completed,2.0,2.0,Urban,119,20
H01115,C056,ST02,I02,2026-05-20,13,Completed,3.0,1.0,Urban,46,20
H00805,C041,ST02,I05,2026-05-17,21,Completed,2.0,5.0,Rural,292,20
H01473,C074,ST03,I02,2026-05-23,19,Completed,1.0,2.0,Rural,86,20
H01623,C082,ST03,I10,2026-05-24,21,Completed,3.0,5.0,Urban,111,20
H01256,C063,ST03,I09,2026-05-21,11,Completed,1.0,5.0,Rural,220,20
H01234,C062,ST03,I08,2026-05-21,18,Completed,3.0,3.0,Urban,96,20
H00846,C043,ST02,I07,2026-05-18,4,Completed,0.0,5.0,Rural,128,20
H00777,C039,ST02,I03,2026-05-17,12,Completed,2.0,4.0,Rural,142,20
H00039,C002,ST01,I02,2026-05-11,8,Completed,0.0,5.0,Rural,287,20
H00196,C010,ST01,I10,2026-05-12,23,Completed,2.0,2.0,Rural,441,20
H00017,C001,ST01,I01,2026-05-11,26,Completed,0.0,1.0,Urban,318,20
H01455,C073,ST03,I01,2026-05-23,7,Completed,1.0,4.0,Rural,14,20
H01182,C060,ST02,I06,2026-05-20,20,Completed,2.0,1.0,Urban,183,20
H01373,C069,ST03,I15,2026-05-22,25,Completed,1.0,2.0,Rural,386,20
H00918,C046,ST02,I10,2026-05-18,21,Completed,1.0,4.0,Rural,129,20
H01191,C060,ST02,I06,2026-05-20,22,Completed,0.0,1.0,Urban,183,20
H01244,C063,ST03,I09,2026-05-21,8,Completed,0.0,2.0,Rural,220,20
H01009,C051,ST02,I15,2026-05-19,21,Completed,2.0,4.0,Rural,272,20
H01513,C076,ST03,I04,2026-05-23,14,Completed,0.0,2.0,Urban,168,20
H00075,C004,ST01,I04,2026-05-11,32,Completed,1.0,1.0,Urban,291,20
H01446,C073,ST03,I01,2026-05-23,26,Completed,2.0,5.0,Rural,14,20
H00528,C027,ST01,I09,2026-05-15,19,Completed,1.0,3.0,Urban,262,20
H00277,C014,ST01,I07,2026-05-13,4,Completed,2.0,5.0,Urban,119,20
H01014,C051,ST02,I15,2026-05-19,23,Completed,1.0,3.0,Rural,272,20
H01576,C079,ST03,I07,2026-05-24,6,Completed,2.0,3.0,Rural,161,20
H00886,C045,ST02,I09,2026-05-18,15,Completed,1.0,3.0,Rural,336,20
H00400,C020,ST01,I02,2026-05-14,22,Completed,2.0,5.0,Urban,138,20
H01580,C079,ST03,I07,2026-05-24,4,Completed,2.0,3.0,Rural,161,20
H00739,C037,ST02,I01,2026-05-17,33,Completed,1.0,3.0,Urban,222,20
H00547,C028,ST01,I10,2026-05-15,29,Completed,2.0,2.0,Rural,119,20
H00897,C045,ST02,I09,2026-05-18,24,Completed,4.0,3.0,Rural,336,20
H00932,C047,ST02,I11,2026-05-18,18,Completed,1.0,3.0,Urban,230,20
H01681,C085,ST03,I13,2026-05-25,15,Completed,2.0,4.0,Urban,121,20
H00644,C033,ST02,I15,2026-05-16,15,Completed,0.0,5.0,Rural,81,20
H01675,C084,ST03,I12,2026-05-24,25,Completed,2.0,1.0,Rural,678,20
H01173,C059,ST02,I05,2026-05-20,13,Completed,1.0,2.0,Rural,275,20
H00577,C029,ST01,I11,2026-05-15,24,Completed,4.0,4.0,Rural,130,20
H01210,C061,ST03,I07,2026-05-21,7,Completed,2.0,1.0,Urban,432,20
H00806,C041,ST02,I05,2026-05-17,19,Completed,2.0,3.0,Rural,292,20
H00443,C023,ST01,I05,2026-05-14,31,Completed,0.0,2.0,Rural,151,20
H01472,C074,ST03,I02,2026-05-23,22,Completed,2.0,3.0,Rural,86,20
H00589,C030,ST01,I12,2026-05-15,19,Completed,0.0,3.0,Rural,133,20
H00576,C029,ST01,I11,2026-05-15,18,Completed,1.0,3.0,Rural,130,20
H00463,C024,ST01,I06,2026-05-14,22,Completed,1.0,4.0,Urban,189,20
H01308,C066,ST03,I12,2026-05-21,21,Completed,2.0,2.0,Urban,211,20
H01502,C076,ST03,I04,2026-05-23,20,Completed,0.0,3.0,Urban,168,20
H00860,C043,ST02,I07,2026-05-18,4,Completed,1.0,5.0,Rural,128,20
H01771,C089,ST03,I17,2026-05-25,18,Completed,3.0,2.0,Urban,146,20
H00990,C050,ST02,I14,2026-05-19,18,Completed,2.0,2.0,Rural,135,20
H01663,C084,ST03,I12,2026-05-24,26,Completed,1.0,5.0,Rural,678,20
H01529,C077,ST03,I05,2026-05-23,20,No eligible respondent after 3 visits,,,Urban,334,20
H00958,C048,ST02,I12,2026-04-29,17,Completed,3.0,4.0,Rural,229,20
H01141,C058,ST02,I04,2026-05-20,16,Completed,3.0,3.0,Rural,380,20
H01400,C070,ST03,I16,2026-05-22,24,Completed,2.0,2.0,Urban,133,20
H01444,C073,ST03,I01,2026-05-23,18,Completed,0.0,5.0,Rural,14,20
H01682,C085,ST03,I13,2026-05-25,16,Completed,3.0,3.0,Urban,121,20
H01410,C071,ST03,I17,2026-05-22,17,Completed,4.0,5.0,Rural,239,20
H01540,C077,ST03,I05,2026-05-23,18,Refused,,,Urban,334,20
H01755,C088,ST03,I16,2026-05-25,19,No eligible respondent after 3 visits,,,Rural,55,20
H00756,C038,ST02,I02,2026-05-17,6,Completed,3.0,3.0,Rural,207,20
H01386,C070,ST03,I16,2026-05-22,19,Completed,1.0,1.0,Urban,133,20
H01372,C069,ST03,I15,2026-05-22,14,Completed,2.0,2.0,Rural,386,20
H01083,C055,ST02,I01,2026-05-20,19,Completed,3.0,5.0,Rural,262,20
H01285,C065,ST03,I11,2026-05-21,20,Completed,0.0,5.0,Urban,521,20
H01004,C051,ST02,I15,2026-05-19,23,Completed,2.0,1.0,Rural,272,20
H01405,C071,ST03,I17,2026-05-22,24,Completed,2.0,5.0,Rural,239,20
H00548,C028,ST01,I10,2026-05-15,8,Completed,0.0,4.0,Rural,119,20
H00317,C016,ST01,I16,2026-05-13,22,Completed,1.0,3.0,Rural,193,20
H01545,C078,ST03,I06,2026-05-23,26,No eligible respondent after 3 visits,,,Urban,151,20
H00952,C048,ST02,I12,2026-04-29,31,Completed,2.0,4.0,Rural,229,20
H00298,C015,ST01,I15,2026-05-13,23,Completed,0.0,4.0,Rural,168,20
H00877,C044,ST02,I08,2026-05-18,23,Completed,1.0,2.0,Urban,131,20
H00649,C033,ST02,I15,2026-05-16,14,Completed,2.0,2.0,Rural,81,20
H01650,C083,ST03,I11,2026-05-24,11,No eligible respondent after 3 visits,,,Urban,138,20
H00177,C009,ST01,I09,2026-05-12,18,Completed,1.0,3.0,Rural,126,20
H01800,C090,ST03,I07,2026-05-25,2,Completed,1.0,1.0,Urban,220,20
H01238,C062,ST03,I08,2026-05-21,13,Completed,0.0,1.0,Urban,96,20
H01368,C069,ST03,I15,2026-05-22,24,Completed,4.0,1.0,Rural,386,20
H00381,C020,ST01,I02,2026-05-14,23,Completed,1.0,5.0,Urban,138,20
H00033,C002,ST01,I02,2026-05-11,14,Completed,2.0,2.0,Rural,287,20
H01613,C081,ST03,I09,2026-05-24,24,Completed,0.0,3.0,Urban,260,20
H01349,C068,ST03,I14,2026-05-22,16,Completed,1.0,3.0,Urban,1038,20
H01425,C072,ST03,I18,2026-05-22,33,Completed,3.0,1.0,Rural,98,20
H00325,C017,ST01,I17,2026-05-13,24,Completed,0.0,4.0,Rural,90,20
H00074,C004,ST01,I04,2026-05-11,21,Completed,3.0,4.0,Urban,291,20
H00885,C045,ST02,I09,2026-05-18,11,Vacant dwelling,,,Rural,336,20
H01431,C072,ST03,I18,2026-05-22,14,Completed,2.0,3.0,Rural,98,20
H01128,C057,ST02,I03,2026-05-20,26,Completed,1.0,1.0,Rural,96,20
H00888,C045,ST02,I09,2026-05-18,21,Completed,3.0,3.0,Rural,336,20
H00088,C005,ST01,I05,2026-05-11,31,No eligible respondent after 3 visits,,,Rural,178,20
H00258,C013,ST01,I13,2026-05-13,15,No eligible respondent after 3 visits,,,Urban,196,20
H00919,C046,ST02,I10,2026-05-18,21,Completed,2.0,3.0,Rural,129,20
H00024,C002,ST01,I02,2026-05-11,26,Completed,1.0,1.0,Rural,287,20
H01146,C058,ST02,I04,2026-05-20,18,Completed,0.0,2.0,Rural,380,20
H00502,C026,ST01,I08,2026-05-15,7,Completed,0.0,3.0,Rural,147,20
H01483,C075,ST03,I03,2026-05-23,19,Completed,0.0,5.0,Rural,153,20
H01335,C067,ST03,I13,2026-05-22,17,Completed,1.0,3.0,Rural,136,20
H01347,C068,ST03,I14,2026-05-22,26,Completed,1.0,5.0,Urban,1038,20
H01246,C063,ST03,I09,2026-05-21,22,Completed,4.0,3.0,Rural,220,20
H00786,C040,ST02,I04,2026-05-17,14,Completed,0.0,1.0,Urban,181,20
H00556,C028,ST01,I10,2026-05-15,34,Completed,0.0,3.0,Rural,119,20
H01003,C051,ST02,I15,2026-05-19,15,Completed,3.0,1.0,Rural,272,20
H00557,C028,ST01,I10,2026-05-15,15,Completed,0.0,4.0,Rural,119,20
H00627,C032,ST02,I14,2026-05-16,17,Completed,3.0,2.0,Rural,68,20
H01430,C072,ST03,I18,2026-05-22,14,Completed,4.0,1.0,Rural,98,20
H00790,C040,ST02,I04,2026-05-17,32,No eligible respondent after 3 visits,,,Urban,181,20
H00695,C035,ST02,I17,2026-05-16,22,Vacant dwelling,,,Urban,80,20
H01231,C062,ST03,I08,2026-05-21,18,Completed,2.0,2.0,Urban,96,20
H00148,C008,ST01,I08,2026-05-12,13,Completed,1.0,1.0,Rural,242,20
H00533,C027,ST01,I09,2026-05-15,27,Completed,1.0,4.0,Urban,262,20
H01167,C059,ST02,I05,2026-05-20,15,Completed,2.0,4.0,Rural,275,20
H01149,C058,ST02,I04,2026-05-20,20,Completed,2.0,1.0,Rural,380,20
H00795,C040,ST02,I04,2026-05-17,19,Completed,1.0,2.0,Urban,181,20
H00753,C038,ST02,I02,2026-05-17,16,Completed,0.0,2.0,Rural,207,20
H01730,C087,ST03,I15,2026-05-25,22,Completed,2.0,4.0,Urban,229,20
H00889,C045,ST02,I09,2026-05-18,19,Completed,3.0,1.0,Rural,336,20
H00235,C012,ST01,I12,2026-04-29,29,Completed,1.0,2.0,Urban,273,20
H01718,C086,ST03,I14,2026-05-25,28,Completed,1.0,5.0,Rural,83,20
H01233,C062,ST03,I08,2026-05-21,36,Completed,1.0,1.0,Urban,96,20
H01109,C056,ST02,I02,2026-05-20,22,Completed,1.0,2.0,Urban,46,20
H01085,C055,ST02,I01,2026-05-20,23,Completed,0.0,5.0,Rural,262,20
H01424,C072,ST03,I18,2026-05-22,21,Completed,3.0,1.0,Rural,98,20
H00787,C040,ST02,I04,2026-05-17,25,Completed,2.0,2.0,Urban,181,20
H00815,C041,ST02,I05,2026-05-17,21,Completed,4.0,5.0,Rural,292,20
H00191,C010,ST01,I10,2026-05-12,24,Completed,2.0,3.0,Rural,441,20
H00065,C004,ST01,I04,2026-05-11,22,Completed,1.0,2.0,Urban,291,20
H00462,C024,ST01,I06,2026-05-14,10,Completed,1.0,3.0,Urban,189,20
H00187,C010,ST01,I10,2026-05-12,34,Completed,0.0,2.0,Rural,441,20
H01638,C082,ST03,I10,2026-05-24,21,Completed,1.0,5.0,Urban,111,20
H01413,C071,ST03,I17,2026-05-22,28,Completed,2.0,1.0,Rural,239,20
H00692,C035,ST02,I17,2026-05-16,22,Completed,1.0,2.0,Urban,80,20
H01605,C081,ST03,I09,2026-05-24,12,Completed,2.0,1.0,Urban,260,20
H01119,C056,ST02,I02,2026-05-20,26,Completed,2.0,3.0,Urban,46,20
H01646,C083,ST03,I11,2026-05-24,31,Completed,4.0,3.0,Urban,138,20
H00280,C014,ST01,I07,2026-05-13,3,Completed,2.0,4.0,Urban,119,20
H00142,C008,ST01,I08,2026-05-12,22,Vacant dwelling,,,Rural,242,20
H00444,C023,ST01,I05,2026-05-14,26,Completed,0.0,3.0,Rural,151,20
H00266,C014,ST01,I07,2026-05-13,2,Completed,0.0,2.0,Urban,119,20
H00084,C005,ST01,I05,2026-05-11,15,Completed,2.0,3.0,Rural,178,20
H01170,C059,ST02,I05,2026-05-20,22,Refused,,,Rural,275,20
H00840,C042,ST02,I06,2026-05-17,23,Completed,1.0,4.0,Rural,123,20
H00727,C037,ST02,I01,2026-05-17,15,Completed,1.0,3.0,Urban,222,20
H01510,C076,ST03,I04,2026-05-23,12,No eligible respondent after 3 visits,,,Urban,168,20
H00183,C010,ST01,I10,2026-05-12,33,Completed,1.0,2.0,Rural,441,20
H01587,C080,ST03,I08,2026-05-24,27,Completed,4.0,1.0,Rural,139,20
H00732,C037,ST02,I01,2026-05-17,29,Completed,1.0,3.0,Urban,222,20
H00238,C012,ST01,I12,2026-05-12,22,Completed,1.0,5.0,Urban,273,20
H00279,C014,ST01,I07,2026-05-13,3,Completed,2.0,5.0,Urban,119,20
H00611,C031,ST02,I13,2026-05-16,17,Completed,1.0,2.0,Rural,160,20
H00940,C047,ST02,I11,2026-05-18,16,Completed,1.0,5.0,Urban,230,20
H01288,C065,ST03,I11,2026-05-21,5,Completed,2.0,4.0,Urban,521,20
H00544,C028,ST01,I10,2026-05-15,21,Completed,3.0,1.0,Rural,119,20
H00814,C041,ST02,I05,2026-05-17,22,Completed,1.0,3.0,Rural,292,20
H00752,C038,ST02,I02,2026-05-17,21,No eligible respondent after 3 visits,,,Rural,207,20
H00637,C032,ST02,I14,2026-05-16,24,Completed,1.0,4.0,Rural,68,20
H00042,C003,ST01,I03,2026-05-11,17,Completed,2.0,1.0,Urban,226,20
H00413,C021,ST01,I07,2026-05-14,4,Completed,1.0,3.0,Rural,58,20
H00382,C020,ST01,I02,2026-05-14,26,Completed,2.0,1.0,Urban,138,20
H00389,C020,ST01,I02,2026-05-14,20,Completed,2.0,4.0,Urban,138,20
H00945,C048,ST02,I12,2026-05-18,17,Completed,2.0,5.0,Rural,229,20
H00549,C028,ST01,I10,2026-05-15,16,Completed,1.0,2.0,Rural,119,20
H00858,C043,ST02,I07,2026-05-18,3,Completed,2.0,1.0,Rural,128,20
H00721,C037,ST02,I01,2026-05-17,9,Completed,3.0,1.0,Urban,222,20
H00492,C025,ST01,I07,2026-05-15,2,Completed,4.0,2.0,Rural,95,20
H01552,C078,ST03,I06,2026-05-23,18,Completed,1.0,2.0,Urban,151,20
H00987,C050,ST02,I14,2026-05-19,6,Vacant dwelling,,,Rural,135,20
H01132,C057,ST02,I03,2026-05-20,26,Completed,1.0,1.0,Rural,96,20
H00424,C022,ST01,I04,2026-05-14,13,Completed,1.0,5.0,Urban,197,20
H01319,C066,ST03,I12,2026-04-29,17,No eligible respondent after 3 visits,,,Urban,211,20
H00744,C038,ST02,I02,2026-05-17,17,Completed,1.0,1.0,Rural,207,20
H01286,C065,ST03,I11,2026-05-21,17,Completed,2.0,3.0,Urban,521,20
H01649,C083,ST03,I11,2026-05-24,26,No eligible respondent after 3 visits,,,Urban,138,20
H01147,C058,ST02,I04,2026-05-20,16,Vacant dwelling,,,Rural,380,20
H00578,C029,ST01,I11,2026-05-15,27,Completed,1.0,4.0,Rural,130,20
H01274,C064,ST03,I10,2026-05-21,20,Completed,2.0,2.0,Rural,260,20
H00675,C034,ST02,I16,2026-05-16,35,Completed,2.0,1.0,Rural,79,20
H01011,C051,ST02,I15,2026-05-19,12,Completed,4.0,4.0,Rural,272,20
H00120,C006,ST01,I06,2026-05-11,10,No eligible respondent after 3 visits,,,Rural,177,20
H00676,C034,ST02,I16,2026-05-16,19,Vacant dwelling,,,Rural,79,20
H00871,C044,ST02,I08,2026-05-18,26,Refused,,,Urban,131,20
H01503,C076,ST03,I04,2026-05-23,34,Completed,2.0,3.0,Urban,168,20
H00583,C030,ST01,I12,2026-05-15,22,Completed,2.0,3.0,Rural,133,20
H00259,C013,ST01,I13,2026-05-13,20,Completed,1.0,5.0,Urban,196,20
H01131,C057,ST02,I03,2026-05-20,22,Completed,1.0,3.0,Rural,96,20
H00898,C045,ST02,I09,2026-05-18,10,Completed,3.0,3.0,Rural,336,20
H00059,C003,ST01,I03,2026-05-11,20,Completed,2.0,4.0,Urban,226,20
H01434,C072,ST03,I18,2026-05-22,26,Completed,1.0,3.0,Rural,98,20
H01019,C051,ST02,I15,2026-05-19,16,Completed,2.0,3.0,Rural,272,20
H00789,C040,ST02,I04,2026-05-17,10,Vacant dwelling,,,Urban,181,20
H00774,C039,ST02,I03,2026-05-17,33,Completed,3.0,2.0,Rural,142,20
H00293,C015,ST01,I15,2026-05-13,21,Completed,3.0,1.0,Rural,168,20
H00571,C029,ST01,I11,2026-05-15,30,Completed,1.0,5.0,Rural,130,20
H00959,C048,ST02,I12,2026-05-18,27,No eligible respondent after 3 visits,,,Rural,229,20
H00076,C004,ST01,I04,2026-05-11,21,Completed,4.0,5.0,Urban,291,20
H01152,C058,ST02,I04,2026-05-20,24,Completed,1.0,4.0,Rural,380,20
H00519,C026,ST01,I08,2026-05-15,29,Completed,1.0,4.0,Rural,147,20
H00671,C034,ST02,I16,2026-05-16,16,Completed,2.0,2.0,Rural,79,20
H00123,C007,ST01,I07,2026-05-12,3,Completed,1.0,2.0,Rural,152,20
H00667,C034,ST02,I16,2026-05-16,6,Completed,1.0,3.0,Rural,79,20
H00409,C021,ST01,I07,2026-05-14,6,No eligible respondent after 3 visits,,,Rural,58,20
H01727,C087,ST03,I15,2026-05-25,22,Completed,1.0,5.0,Urban,229,20
H01050,C053,ST02,I17,2026-05-19,2,Completed,1.0,5.0,Rural,64,20
H01359,C068,ST03,I14,2026-05-22,25,Completed,1.0,3.0,Urban,1038,20
H00662,C034,ST02,I16,2026-05-16,16,No eligible respondent after 3 visits,,,Rural,79,20
H00063,C004,ST01,I04,2026-05-11,11,Completed,2.0,1.0,Urban,291,20
H01761,C089,ST03,I17,2026-05-25,19,Completed,1.0,4.0,Urban,146,20
H00842,C043,ST02,I07,2026-05-18,5,Completed,1.0,1.0,Rural,128,20
H00342,C018,ST01,I18,2026-05-13,26,Completed,1.0,3.0,Rural,159,20
H01697,C085,ST03,I13,2026-05-25,20,Completed,1.0,1.0,Urban,121,20
H01338,C067,ST03,I13,2026-05-22,9,Completed,2.0,3.0,Rural,136,20
H00681,C035,ST02,I17,2026-05-16,22,Completed,3.0,3.0,Urban,80,20
H00568,C029,ST01,I11,2026-05-15,25,Completed,0.0,1.0,Rural,130,20
H01784,C090,ST03,I07,2026-05-25,4,Completed,2.0,5.0,Urban,220,20
H00769,C039,ST02,I03,2026-05-17,14,Completed,0.0,3.0,Rural,142,20
H00826,C042,ST02,I06,2026-05-17,26,Completed,0.0,3.0,Rural,123,20
H01277,C064,ST03,I10,2026-05-21,24,No eligible respondent after 3 visits,,,Rural,260,20
H00703,C036,ST02,I18,2026-05-16,18,Completed,2.0,1.0,Urban,262,20
H00060,C003,ST01,I03,2026-05-11,26,Completed,4.0,1.0,Urban,226,20
H00079,C004,ST01,I04,2026-05-11,28,Completed,1.0,4.0,Urban,291,20
H00393,C020,ST01,I02,2026-05-14,28,Completed,0.0,5.0,Urban,138,20
H01016,C051,ST02,I15,2026-05-19,17,Completed,3.0,1.0,Rural,272,20
H01582,C080,ST03,I08,2026-05-24,22,Completed,1.0,3.0,Rural,139,20
H01678,C084,ST03,I12,2026-05-24,12,Completed,2.0,5.0,Rural,678,20
H01449,C073,ST03,I01,2026-05-23,25,Completed,2.0,2.0,Rural,14,20
H01154,C058,ST02,I04,2026-05-20,31,Completed,1.0,3.0,Rural,380,20
H00469,C024,ST01,I06,2026-05-14,29,Completed,2.0,2.0,Urban,189,20
H00890,C045,ST02,I09,2026-05-18,24,Completed,1.0,4.0,Rural,336,20
H01722,C087,ST03,I15,2026-05-25,15,Refused,,,Urban,229,20
H01493,C075,ST03,I03,2026-05-23,29,Completed,1.0,5.0,Rural,153,20
H00169,C009,ST01,I09,2026-05-12,19,Completed,0.0,4.0,Rural,126,20
H00248,C013,ST01,I13,2026-05-13,20,Completed,1.0,4.0,Urban,196,20
H01162,C059,ST02,I05,2026-05-20,16,No eligible respondent after 3 visits,,,Rural,275,20
H00028,C002,ST01,I02,2026-05-11,27,Completed,1.0,1.0,Rural,287,20
H00737,C037,ST02,I01,2026-05-17,21,Completed,1.0,2.0,Urban,222,20
H00018,C001,ST01,I01,2026-05-11,7,Completed,1.0,1.0,Urban,318,20
H00497,C025,ST01,I07,2026-05-15,4,Completed,0.0,2.0,Rural,95,20
H01740,C087,ST03,I15,2026-05-25,22,Vacant dwelling,,,Urban,229,20
H00671,C034,ST02,I16,2026-05-16,16,Completed,2.0,2.0,Rural,79,20
H00647,C033,ST02,I15,2026-05-16,23,Completed,2.0,4.0,Rural,81,20
H00808,C041,ST02,I05,2026-05-17,27,Completed,0.0,2.0,Rural,292,20
H00983,C050,ST02,I14,2026-05-19,28,Completed,1.0,5.0,Rural,135,20
H00865,C044,ST02,I08,2026-05-18,11,No eligible respondent after 3 visits,,,Urban,131,20
H01000,C050,ST02,I14,2026-05-19,18,No eligible respondent after 3 visits,,,Rural,135,20
H01330,C067,ST03,I13,2026-05-22,26,Completed,3.0,4.0,Rural,136,20
H00748,C038,ST02,I02,2026-05-17,26,Completed,3.0,1.0,Rural,207,20
H00378,C019,ST01,I07,2026-05-14,2,Completed,1.0,2.0,Rural,78,20
H00507,C026,ST01,I08,2026-05-15,23,Completed,1.0,2.0,Rural,147,20
H00171,C009,ST01,I09,2026-05-12,30,Completed,0.0,2.0,Rural,126,20
H00082,C005,ST01,I05,2026-05-11,14,Completed,1.0,4.0,Rural,178,20
H01007,C051,ST02,I15,2026-05-19,20,Completed,2.0,5.0,Rural,272,20
H01658,C083,ST03,I11,2026-05-24,19,Completed,1.0,2.0,Urban,138,20
H01026,C052,ST02,I16,2026-05-19,18,No eligible respondent after 3 visits,,,Urban,623,20
H00014,C001,ST01,I01,2026-05-11,13,Completed,1.0,3.0,Urban,318,20
H00087,C005,ST01,I05,2026-05-11,14,Completed,1.0,1.0,Rural,178,20
H00228,C012,ST01,I12,2026-05-12,16,Completed,1.0,3.0,Urban,273,20
H00318,C016,ST01,I16,2026-05-13,28,Completed,2.0,2.0,Rural,193,20
H00092,C005,ST01,I05,2026-05-11,17,Completed,0.0,1.0,Rural,178,20
